"Item_Identifier","Item_Weight","Item_Fat_Content","Item_Visibility","Item_Type","Item_MRP","Outlet_Identifier","Outlet_Establishment_Year","Outlet_Size","Outlet_Location_Type","Outlet_Type","Item_Outlet_Sales"
"DRC24",17.85,"Low Fat",0.024961677,"Soft Drinks",153.1998,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",3383.5956
"DRC25",12.857645184136201,"Low Fat",0,"Soft Drinks",87.3882,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",1374.2112
"DRC25",5.73,"Low Fat",0.045334098,"Soft Drinks",87.0882,"OUT013",1987,"High","Tier 3","Supermarket Type1",1803.6522
"DRC25",5.73,"Low Fat",0.045371855,"Soft Drinks",86.0882,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1116.5466
"DRC25",5.73,"Low Fat",0.045463871,"Soft Drinks",85.2882,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",2061.3168
"DRC25",5.73,"Low Fat",0.045556681,"Soft Drinks",85.3882,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1288.323
"DRC25",5.73,"Low Fat",0.075943184,"Soft Drinks",85.5882,"OUT010",1998,"Small","Tier 3","Grocery Store",171.7764
"DRC25",12.857645184136201,"Low Fat",0.079440262,"Soft Drinks",86.7882,"OUT019",1985,"Small","Tier 1","Grocery Store",85.8882
"DRC27",13.8,"Low Fat",0.058192802,"Dairy",246.9802,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",5896.3248
"DRC27",13.8,"Low Fat",0.058220302,"Dairy",247.4802,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",1474.0812
"DRC27",13.8,"Low Fat",0.058339153,"Dairy",246.2802,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1228.401
"DRC27",13.8,"Low Fat",0.05843112,"Dairy",243.6802,"OUT017",2007,"High","Tier 2","Supermarket Type1",1965.4416
"DRC36",13,"Regular",0,"Soft Drinks",173.6054,"OUT013",1987,"High","Tier 3","Supermarket Type1",1751.054
"DRC36",12.857645184136201,"Regular",0.044767032,"Soft Drinks",173.7054,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",5778.4782
"DRC36",13,"reg",0.044976367,"Soft Drinks",176.2054,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1225.7378
"DRC36",13,"Regular",0.044984874,"Soft Drinks",175.0054,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1926.1594
"DRC36",13,"Regular",0.045239326,"Soft Drinks",174.1054,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",4377.635
"DRC49",12.857645184136201,"LF",0.065119701,"Soft Drinks",145.7128,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",4026.7584
"DRC49",8.67,"Low Fat",0.065436581,"Soft Drinks",142.9128,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2013.3792
"DRD01",12.1,"Regular",0.061163967,"Soft Drinks",56.5614,"OUT035",2004,"Small","Tier 2","Supermarket Type1",828.921
"DRD01",12.1,"Regular",0.061521569,"Soft Drinks",55.8614,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",1436.7964
"DRD12",12.857645184136201,"Low Fat",0,"Soft Drinks",89.4146,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",2645.2234
"DRD12",6.96,"Low Fat",0.077129323,"Soft Drinks",92.7146,"OUT013",1987,"High","Tier 3","Supermarket Type1",1733.0774
"DRD12",6.96,"Low Fat",0.077193561,"Soft Drinks",89.9146,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1277.0044
"DRD12",6.96,"LF",0.077508015,"Soft Drinks",92.3146,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1094.5752
"DRD12",6.96,"Low Fat",0.077630199,"Soft Drinks",90.9146,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",1459.4336
"DRD13",12.857645184136201,"Low Fat",0.048841794,"Soft Drinks",64.7168,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",3068.0064
"DRD13",15,"Low Fat",0.049070183,"Soft Drinks",61.9168,"OUT035",2004,"Small","Tier 2","Supermarket Type1",767.0016
"DRD13",15,"Low Fat",0.049155769,"Soft Drinks",65.2168,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",958.752
"DRD13",15,"Low Fat",0.049178998,"Soft Drinks",65.6168,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",639.168
"DRD13",15,"Low Fat",0.049279392,"Soft Drinks",65.7168,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",575.2512
"DRD15",10.6,"Low Fat",0.056748659,"Dairy",233.6642,"OUT013",1987,"High","Tier 3","Supermarket Type1",3950.1914
"DRD15",10.6,"Low Fat",0.056785183,"Dairy",231.9642,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2091.2778
"DRD15",10.6,"Low Fat",0.056795923,"Dairy",232.8642,"OUT046",1997,"Small","Tier 1","Supermarket Type1",3485.463
"DRD15",10.6,"Low Fat",0.056884225,"Dairy",231.9642,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",3020.7346
"DRD15",10.6,"Low Fat",0.056911107,"Dairy",233.9642,"OUT045",2002,"Small","Tier 2","Supermarket Type1",3717.8272
"DRD15",10.6,"Low Fat",0.095064731,"Dairy",232.4642,"OUT010",1998,"Small","Tier 3","Grocery Store",697.0926
"DRD24",12.857645184136201,"Low Fat",0.030645958,"Soft Drinks",141.7154,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",2694.4926
"DRD24",13.85,"Low Fat",0.030920531,"Soft Drinks",141.0154,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1701.7848
"DRD24",13.85,"Low Fat",0.030969274,"Soft Drinks",140.9154,"OUT017",2007,"Small","Tier 2","Supermarket Type1",1701.7848
"DRD24",13.85,"Low Fat",0.051544658,"Soft Drinks",142.5154,"OUT010",1998,"Small","Tier 3","Grocery Store",141.8154
"DRD25",12.857645184136201,"Low Fat",0.078589629,"Soft Drinks",113.286,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",2716.464
"DRD25",6.135,"Low Fat",0.078957122,"Soft Drinks",111.986,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1697.79
"DRD25",6.135,"LF",0.079293753,"Soft Drinks",111.286,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",2263.72
"DRD25",6.135,"Low Fat",0.132183029,"Soft Drinks",115.086,"OUT010",1998,"Small","Tier 3","Grocery Store",452.744
"DRD25",12.857645184136201,"Low Fat",0.138269873,"Soft Drinks",111.686,"OUT019",1985,"Small","Tier 1","Grocery Store",452.744
"DRD27",18.75,"Low Fat",0,"Dairy",97.9042,"OUT045",2002,"High","Tier 2","Supermarket Type1",1686.4714
"DRD27",18.75,"Low Fat",0.023876985,"Dairy",97.4042,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",2281.6966
"DRD27",18.75,"Low Fat",0.023974769,"Dairy",99.0042,"OUT017",2007,"Small","Tier 2","Supermarket Type1",694.4294
"DRD27",12.857645184136201,"Low Fat",0.041740624,"Dairy",98.3042,"OUT019",1985,"Small","Tier 1","Grocery Store",198.4084
"DRD37",9.8,"Low Fat",0.013830218,"Soft Drinks",45.306,"OUT013",1987,"High","Tier 3","Supermarket Type1",1304.968
"DRD37",9.8,"Low Fat",0.013841737,"Soft Drinks",45.206,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1211.756
"DRD37",9.8,"Low Fat",0.013863257,"Soft Drinks",45.106,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1398.18
"DRD37",9.8,"Low Fat",0.013869809,"Soft Drinks",47.406,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",978.726
"DRD37",9.8,"Low Fat",0.013920032,"Soft Drinks",45.006,"OUT017",2007,"Small","Tier 2","Supermarket Type1",792.302
"DRD37",9.8,"LF",0.02316823,"Soft Drinks",47.506,"OUT010",1998,"Small","Tier 3","Grocery Store",186.424
"DRD49",9.895,"LF",0.167831064,"Soft Drinks",237.4564,"OUT046",1997,"Small","Tier 1","Supermarket Type1",715.0692
"DRD49",9.895,"Low Fat",0.16817143,"Soft Drinks",237.7564,"OUT045",2002,"High","Tier 2","Supermarket Type1",3813.7024
"DRD49",9.895,"Low Fat",0.168780385,"Soft Drinks",236.8564,"OUT017",2007,"High","Tier 2","Supermarket Type1",4767.128
"DRD60",12.857645184136201,"Low Fat",0.065188619,"Soft Drinks",181.1634,"OUT019",1985,"Small","Tier 1","Grocery Store",181.7634
"DRE01",10.1,"Low Fat",0.167155198,"Soft Drinks",241.7512,"OUT046",1997,"Small","Tier 1","Supermarket Type1",5331.7264
"DRE01",10.1,"Low Fat",0.279783532,"Soft Drinks",241.8512,"OUT010",1998,"Small","Tier 3","Grocery Store",484.7024
"DRE03",19.6,"Low Fat",0.024222321,"Dairy",45.5718,"OUT035",2004,"Small","Tier 2","Supermarket Type1",945.436
"DRE03",19.6,"Low Fat",0.024226902,"Dairy",48.7718,"OUT046",1997,"Small","Tier 1","Supermarket Type1",236.359
"DRE03",19.6,"Low Fat",0.024325592,"Dairy",48.5718,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",425.4462
"DRE03",19.6,"Low Fat",0.040550868,"Dairy",45.5718,"OUT010",1998,"Medium","Tier 3","Grocery Store",47.2718
"DRE12",4.59,"Low Fat",0,"Soft Drinks",111.186,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",1245.046
"DRE12",4.59,"Low Fat",0.070721656,"Soft Drinks",113.286,"OUT013",1987,"High","Tier 3","Supermarket Type1",1471.418
"DRE12",4.59,"Low Fat",0.070767174,"Soft Drinks",111.986,"OUT035",2004,"Small","Tier 2","Supermarket Type1",792.302
"DRE12",4.59,"Low Fat",0.070780558,"Soft Drinks",114.586,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1245.046
"DRE12",4.59,"Low Fat",0.070890602,"Soft Drinks",111.686,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1584.604
"DRE13",6.28,"Low Fat",0.027682047,"Soft Drinks",85.5198,"OUT013",1987,"High","Tier 3","Supermarket Type1",1744.396
"DRE13",6.28,"Low Fat",0.027748176,"Soft Drinks",86.5198,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1395.5168
"DRE13",6.28,"Low Fat",0.027761289,"Soft Drinks",85.8198,"OUT045",2002,"Small","Tier 2","Supermarket Type1",872.198
"DRE15",13.35,"Low Fat",0,"Dairy",75.7012,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",1442.1228
"DRE15",12.857645184136201,"Low Fat",0.01769927,"Dairy",74.2012,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",1290.3204
"DRE15",13.35,"Low Fat",0.017821466,"Dairy",75.1012,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",1366.2216
"DRE15",13.35,"Low Fat",0.017857847,"Dairy",77.5012,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1518.024
"DRE15",12.857645184136201,"Low Fat",0.031139933,"Dairy",74.8012,"OUT019",1985,"Small","Tier 1","Grocery Store",303.6048
"DRE25",12.857645184136201,"Low Fat",0.072928316,"Soft Drinks",94.412,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",1304.968
"DRE25",15.35,"Low Fat",0.073269336,"Soft Drinks",92.112,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1118.544
"DRE25",15.35,"Low Fat",0.073397129,"Soft Drinks",91.912,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",2609.936
"DRE25",15.35,"LF",0.073697713,"Soft Drinks",91.912,"OUT017",2007,"High","Tier 2","Supermarket Type1",559.272
"DRE27",11.85,"Low Fat",0.132560174,"Dairy",97.2726,"OUT013",1987,"High","Tier 3","Supermarket Type1",782.9808
"DRE27",11.85,"Low Fat",0.132645493,"Dairy",96.9726,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1174.4712
"DRE27",11.85,"Low Fat",0.132876847,"Dairy",98.0726,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1076.5986
"DRE27",11.85,"Low Fat",0.132939639,"Dairy",98.0726,"OUT045",2002,"Small","Tier 2","Supermarket Type1",1761.7068
"DRE37",13.5,"Low Fat",0,"Soft Drinks",189.1872,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1890.872
"DRE37",13.5,"Low Fat",0.094219593,"Soft Drinks",189.9872,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1323.6104
"DRE37",13.5,"Low Fat",0.094366079,"Soft Drinks",190.9872,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",2836.308
"DRE37",13.5,"LF",0.094603404,"Soft Drinks",187.0872,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",3214.4824
"DRE48",8.43,"Low Fat",0,"Soft Drinks",195.3768,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",1576.6144
"DRE48",12.857645184136201,"Low Fat",0.01724183,"Soft Drinks",197.0768,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",8868.456
"DRE48",8.43,"LF",0.017322454,"Soft Drinks",196.8768,"OUT035",2004,"Small","Tier 2","Supermarket Type1",3350.3056
"DRE48",8.43,"Low Fat",0.01732573,"Soft Drinks",197.9768,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1182.4608
"DRE48",8.43,"Low Fat",0.017396308,"Soft Drinks",196.0768,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",4138.6128
"DRE49",20.75,"Low Fat",0,"Soft Drinks",153.0024,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2428.8384
"DRE49",12.857645184136201,"Low Fat",0,"Soft Drinks",153.8024,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",7741.9224
"DRE49",20.75,"Low Fat",0.021232318,"Soft Drinks",151.1024,"OUT013",1987,"High","Tier 3","Supermarket Type1",2428.8384
"DRE49",20.75,"LF",0.021250002,"Soft Drinks",150.5024,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2580.6408
"DRE49",20.75,"Low Fat",0.021336565,"Soft Drinks",153.6024,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1366.2216
"DRE49",20.75,"Low Fat",0.021370201,"Soft Drinks",153.0024,"OUT017",2007,"High","Tier 2","Supermarket Type1",2277.036
"DRE49",20.75,"Low Fat",0.035568147,"Soft Drinks",151.8024,"OUT010",1998,"High","Tier 3","Grocery Store",151.8024
"DRE60",9.395,"Low Fat",0.159201868,"Soft Drinks",226.072,"OUT013",1987,"High","Tier 3","Supermarket Type1",3621.952
"DRE60",9.395,"Low Fat",0.159304333,"Soft Drinks",226.172,"OUT035",2004,"Small","Tier 2","Supermarket Type1",3848.324
"DRE60",9.395,"Low Fat",0.159582185,"Soft Drinks",224.772,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",7017.532
"DRE60",9.395,"Low Fat",0.160235723,"Soft Drinks",227.872,"OUT017",2007,"Small","Tier 2","Supermarket Type1",1584.604
"DRE60",12.857645184136201,"low fat",0.278974075,"Soft Drinks",225.372,"OUT019",1985,"Small","Tier 1","Grocery Store",679.116
"DRF01",5.655,"Low Fat",0,"Soft Drinks",147.5102,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1166.4816
"DRF01",12.857645184136201,"Low Fat",0.174232377,"Soft Drinks",146.6102,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",1895.5326
"DRF01",5.655,"Low Fat",0.174934513,"Soft Drinks",145.0102,"OUT013",1987,"High","Tier 3","Supermarket Type1",1895.5326
"DRF01",5.655,"LF",0.175047104,"Soft Drinks",146.9102,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1895.5326
"DRF01",5.655,"Low Fat",0.175352413,"Soft Drinks",147.4102,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",2478.7734
"DRF01",5.655,"Low Fat",0.175793413,"Soft Drinks",146.9102,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1749.7224
"DRF01",5.655,"LF",0.176070535,"Soft Drinks",144.0102,"OUT017",2007,"Small","Tier 2","Supermarket Type1",1749.7224
"DRF01",12.857645184136201,"Low Fat",0.306542848,"Soft Drinks",147.3102,"OUT019",1985,"Small","Tier 1","Grocery Store",291.6204
"DRF03",19.1,"Low Fat",0.045299563,"Dairy",38.8138,"OUT035",2004,"Small","Tier 2","Supermarket Type1",365.5242
"DRF03",19.1,"Low Fat",0.045308131,"Dairy",42.5138,"OUT046",1997,"Small","Tier 1","Supermarket Type1",649.8208
"DRF03",19.1,"Low Fat",0.045378573,"Dairy",42.4138,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",243.6828
"DRF03",19.1,"Low Fat",0.045400017,"Dairy",38.8138,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",690.4346
"DRF03",19.1,"Low Fat",0.045492697,"Dairy",40.3138,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",527.9794
"DRF03",19.1,"Low Fat",0.075836522,"Dairy",40.2138,"OUT010",1998,"High","Tier 3","Grocery Store",81.2276
"DRF13",12.1,"Low Fat",0.029827665,"Soft Drinks",144.3444,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",2612.5992
"DRF13",12.1,"Low Fat",0.02984176,"Soft Drinks",144.4444,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",3628.61
"DRF13",12.1,"Low Fat",0.029949818,"Soft Drinks",146.3444,"OUT017",2007,"High","Tier 2","Supermarket Type1",3773.7544
"DRF15",18.35,"LF",0,"Dairy",151.934,"OUT013",1987,"High","Tier 3","Supermarket Type1",306.268
"DRF15",18.35,"Low Fat",0.03334929,"Dairy",155.034,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1990.742
"DRF23",12.857645184136201,"Low Fat",0.122058364,"Hard Drinks",172.8396,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",7152.0236
"DRF23",4.61,"Low Fat",0.122629121,"Hard Drinks",175.4396,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2616.594
"DRF23",4.61,"Low Fat",0.122843005,"Hard Drinks",172.4396,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1569.9564
"DRF23",4.61,"Low Fat",0.123151947,"Hard Drinks",175.2396,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",2093.2752
"DRF23",4.61,"Low Fat",0.205294827,"Hard Drinks",172.8396,"OUT010",1998,"Medium","Tier 3","Grocery Store",174.4396
"DRF25",12.857645184136201,"Low Fat",0.038736754,"Soft Drinks",37.319,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",1281.665
"DRF25",9,"Low Fat",0.038917891,"Soft Drinks",35.919,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1171.808
"DRF25",9,"Low Fat",0.03898577,"Soft Drinks",34.619,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",732.38
"DRF25",12.857645184136201,"Low Fat",0.068153091,"Soft Drinks",36.019,"OUT019",1985,"Small","Tier 1","Grocery Store",73.238
"DRF27",12.857645184136201,"Low Fat",0.02827966,"Dairy",152.234,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",1071.938
"DRF27",8.93,"Low Fat",0.028411899,"Dairy",152.334,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2143.876
"DRF27",8.93,"Low Fat",0.028417272,"Dairy",154.534,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2603.278
"DRF27",8.93,"Low Fat",0.028461453,"Dairy",152.234,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",5053.422
"DRF27",8.93,"Low Fat",0.028533032,"Dairy",151.434,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1225.072
"DRF27",12.857645184136201,"Low Fat",0.049754975,"Dairy",152.134,"OUT019",1985,"Small","Tier 1","Grocery Store",153.134
"DRF36",12.857645184136201,"Low Fat",0.023463124,"Soft Drinks",190.6846,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",9554.23
"DRF36",16.1,"Low Fat",0.023613955,"Soft Drinks",192.8846,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",5350.3688
"DRF36",16.1,"LF",0.023625114,"Soft Drinks",189.3846,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",3630.6074
"DRF36",16.1,"Low Fat",0.023673342,"Soft Drinks",189.0846,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",5350.3688
"DRF36",16.1,"Low Fat",0.039463564,"Soft Drinks",189.9846,"OUT010",1998,"Small","Tier 3","Grocery Store",191.0846
"DRF37",12.857645184136201,"Low Fat",0,"Soft Drinks",261.291,"OUT019",1985,"Small","Tier 1","Grocery Store",788.973
"DRF37",17.25,"Low Fat",0.084262458,"Soft Drinks",261.591,"OUT013",1987,"High","Tier 3","Supermarket Type1",3418.883
"DRF37",17.25,"low fat",0.084316691,"Soft Drinks",263.391,"OUT035",2004,"Small","Tier 2","Supermarket Type1",6311.784
"DRF37",17.25,"Low Fat",0.084809658,"Soft Drinks",261.191,"OUT017",2007,"Small","Tier 2","Supermarket Type1",3155.892
"DRF48",5.73,"Low Fat",0.05190652,"Soft Drinks",188.1898,"OUT045",2002,"Small","Tier 2","Supermarket Type1",1496.7184
"DRF49",7.27,"Low Fat",0.071188446,"Soft Drinks",111.9518,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1138.518
