"Item_Identifier","Item_Weight","Item_Fat_Content","Item_Visibility","Item_Type","Item_MRP","Outlet_Identifier","Outlet_Establishment_Year","Outlet_Size","Outlet_Location_Type","Outlet_Type","Item_Outlet_Sales"
"DRD37",9.8,"Low Fat",0.013898123,"Soft Drinks",46.506,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",372.848
"DRD49",9.895,"Low Fat",0.167799329,"Soft Drinks",239.4564,"OUT035",2004,"Small","Tier 2","Supermarket Type1",5243.8408
"DRD60",15.7,"Low Fat",0.037201127,"Soft Drinks",181.7634,"OUT013",1987,"High","Tier 3","Supermarket Type1",2544.6876
"DRD60",15.7,"Low Fat",0.03722507,"Soft Drinks",182.4634,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1999.3974
"DRD60",15.7,"Low Fat",0.03723211,"Soft Drinks",183.1634,"OUT046",1997,"Small","Tier 1","Supermarket Type1",5634.6654
"DRD60",15.7,"Low Fat",0.037289996,"Soft Drinks",182.7634,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",3453.5046
"DRD60",15.7,"LF",0.037383778,"Soft Drinks",179.7634,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1817.634
"DRE03",19.6,"Low Fat",0.024264569,"Dairy",46.5718,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1607.2412
"DRE03",19.6,"Low Fat",0.024276035,"Dairy",45.3718,"OUT045",2002,,"Tier 2","Supermarket Type1",614.5334
"DRE03",19.6,"Low Fat",0.024363939,"Dairy",46.3718,"OUT017",2007,,"Tier 2","Supermarket Type1",661.8052
"DRE12",,"Low Fat",0.0704378,"Soft Drinks",112.886,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",2942.836
"DRE13",,"low fat",0.027570939,"Soft Drinks",86.6198,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",2529.3742
"DRE13",6.28,"Low Fat",0.027699863,"Soft Drinks",87.9198,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1221.0772
"DRE15",13.35,"Low Fat",0,"Dairy",77.6012,"OUT046",1997,"Small","Tier 1","Supermarket Type1",986.7156
"DRE25",15.35,"Low Fat",0.073283193,"Soft Drinks",91.812,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1771.028
"DRE27",11.85,"Low Fat",0.13267058,"Dairy",96.4726,"OUT046",1997,"Small","Tier 1","Supermarket Type1",978.726
"DRE27",11.85,"Low Fat",0.222063351,"Dairy",99.6726,"OUT010",1998,,"Tier 3","Grocery Store",195.7452
"DRE37",,"Low Fat",0.164966345,"Soft Drinks",189.4872,"OUT019",1985,"Small","Tier 1","Grocery Store",189.0872
"DRE48",8.43,"Low Fat",0.017311312,"Soft Drinks",197.8768,"OUT013",1987,"High","Tier 3","Supermarket Type1",3744.4592
"DRE48",8.43,"Low Fat",0.017360867,"Soft Drinks",196.2768,"OUT045",2002,,"Tier 2","Supermarket Type1",1576.6144
"DRE49",20.75,"Low Fat",0.02128304,"Soft Drinks",153.5024,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",2428.8384
"DRE49",20.75,"Low Fat",0.021293097,"Soft Drinks",151.9024,"OUT045",2002,,"Tier 2","Supermarket Type1",2732.4432
"DRE60",9.395,"Low Fat",0.159657596,"Soft Drinks",224.972,"OUT045",2002,,"Tier 2","Supermarket Type1",7696.648
"DRF03",,"Low Fat",0.045088724,"Dairy",39.7138,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",1096.5726
"DRF03",19.1,"Low Fat",0.045270426,"Dairy",38.8138,"OUT013",1987,"High","Tier 3","Supermarket Type1",731.0484
"DRF13",12.1,"Low Fat",0,"Soft Drinks",145.1444,"OUT013",1987,"High","Tier 3","Supermarket Type1",3338.3212
"DRF13",12.1,"Low Fat",0.029781363,"Soft Drinks",146.9444,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1596.5884
"DRF13",12.1,"Low Fat",0.029902679,"Soft Drinks",144.3444,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1161.1552
"DRF15",18.35,"Low Fat",0.03321399,"Dairy",154.934,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1225.072
"DRF15",,"Low Fat",0.058153409,"Dairy",152.034,"OUT019",1985,"Small","Tier 1","Grocery Store",306.268
"DRF23",4.61,"Low Fat",0,"Hard Drinks",173.8396,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1221.0772
"DRF23",4.61,"Low Fat",0.122901056,"Hard Drinks",174.4396,"OUT045",2002,,"Tier 2","Supermarket Type1",2616.594
"DRF23",4.61,"Low Fat",0.123346085,"Hard Drinks",172.5396,"OUT017",2007,,"Tier 2","Supermarket Type1",3663.2316
"DRF25",9,"Low Fat",0.038892859,"Soft Drinks",36.119,"OUT013",1987,"High","Tier 3","Supermarket Type1",1098.57
"DRF25",9,"Low Fat",0.038925251,"Soft Drinks",34.919,"OUT046",1997,"Small","Tier 1","Supermarket Type1",476.047
"DRF25",9,"Low Fat",0.039004193,"Soft Drinks",37.019,"OUT045",2002,,"Tier 2","Supermarket Type1",659.142
"DRF27",8.93,"Low Fat",0.028393624,"Dairy",153.434,"OUT013",1987,"High","Tier 3","Supermarket Type1",1378.206
"DRF27",8.93,"low fat",0.028578012,"Dairy",152.234,"OUT017",2007,,"Tier 2","Supermarket Type1",3828.35
"DRF36",16.1,"Low Fat",0.023577298,"Soft Drinks",192.6846,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2866.269
"DRF37",17.25,"Low Fat",0,"Soft Drinks",263.591,"OUT045",2002,,"Tier 2","Supermarket Type1",788.973
"DRF37",17.25,"Low Fat",0.084676173,"Soft Drinks",263.191,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",3944.865
"DRF49",7.27,"LF",0.071064499,"Soft Drinks",114.4518,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1366.2216
"DRF49",7.27,"Low Fat",0.071077939,"Soft Drinks",114.2518,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2618.5914
"DRF49",7.27,"Low Fat",0.071222087,"Soft Drinks",113.5518,"OUT045",2002,,"Tier 2","Supermarket Type1",569.259
"DRF60",10.8,"Low Fat",0.052363244,"Soft Drinks",236.5564,"OUT017",2007,,"Tier 2","Supermarket Type1",5243.8408
"DRG01",14.8,"Low Fat",0.044840933,"Soft Drinks",78.367,"OUT013",1987,"High","Tier 3","Supermarket Type1",918.804
"DRG01",14.8,"Low Fat",0.04487828,"Soft Drinks",75.467,"OUT046",1997,"Small","Tier 1","Supermarket Type1",765.67
"DRG03",,"Low Fat",0.061686402,"Dairy",153.9998,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",5229.1932
"DRG11",6.385,"Low Fat",0.084179812,"Hard Drinks",109.0596,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1941.4728
"DRG11",6.385,"Low Fat",0.14032811,"Hard Drinks",109.1596,"OUT010",1998,,"Tier 3","Grocery Store",107.8596
"DRG13",,"Low Fat",0.037006076,"Soft Drinks",164.7526,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",4111.315
"DRG13",17.25,"Low Fat",0.037155206,"Soft Drinks",166.4526,"OUT013",1987,"High","Tier 3","Supermarket Type1",3782.4098
"DRG13",17.25,"Low Fat",0.037337632,"Soft Drinks",163.7526,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",3289.052
"DRG15",6.13,"Low Fat",0.076721393,"Dairy",59.4536,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2021.3688
"DRG15",6.13,"Low Fat",0.076735903,"Dairy",62.4536,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1225.072
"DRG15",6.13,"Low Fat",0.076855207,"Dairy",59.3536,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1470.0864
"DRG15",6.13,"Low Fat",0.077169953,"Dairy",63.0536,"OUT017",2007,,"Tier 2","Supermarket Type1",1225.072
"DRG23",8.88,"Low Fat",0.086708987,"Hard Drinks",151.7682,"OUT013",1987,"High","Tier 3","Supermarket Type1",762.341
"DRG25",10.5,"Low Fat",0.019046089,"Soft Drinks",188.424,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2237.088
"DRG37",16.2,"Low Fat",0.019374768,"Soft Drinks",155.8972,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2025.3636
"DRG37",16.2,"Low Fat",0.019378432,"Soft Drinks",156.4972,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1090.5804
"DRG37",16.2,"Low Fat",0.01940856,"Soft Drinks",156.7972,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",3739.1328
"DRG37",16.2,"Low Fat",0.019457372,"Soft Drinks",153.9972,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1246.3776
"DRG37",,"LF",0.033929133,"Soft Drinks",154.3972,"OUT019",1985,"Small","Tier 1","Grocery Store",311.5944
"DRG39",14.15,"Low Fat",0.042246575,"Dairy",54.2982,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1104.5622
"DRG48",,"Low Fat",0.014484582,"Soft Drinks",143.9102,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",3062.0142
"DRG48",5.78,"Low Fat",0.014555066,"Soft Drinks",145.2102,"OUT046",1997,"Small","Tier 1","Supermarket Type1",3062.0142
"DRG48",5.78,"Low Fat",0.014584584,"Soft Drinks",146.3102,"OUT045",2002,,"Tier 2","Supermarket Type1",2187.153
"DRG49",7.81,"Low Fat",0.067592098,"Soft Drinks",246.0486,"OUT045",2002,,"Tier 2","Supermarket Type1",7086.1094
"DRG49",7.81,"Low Fat",0.067836851,"Soft Drinks",246.1486,"OUT017",2007,,"Tier 2","Supermarket Type1",5375.6692
"DRG51",12.1,"Low Fat",0.011539622,"Dairy",163.5526,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2302.3364
"DRG51",12.1,"Low Fat",0.011563024,"Dairy",164.9526,"OUT045",2002,,"Tier 2","Supermarket Type1",2302.3364
"DRH01",,"Low Fat",0.171417316,"Soft Drinks",173.0738,"OUT019",1985,"Small","Tier 1","Grocery Store",347.5476
"DRH03",17.25,"Low Fat",0.035064318,"Dairy",92.412,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1304.968
"DRH03",17.25,"low fat",0.035207155,"Dairy",93.512,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1491.392
"DRH03",17.25,"Low Fat",0.05869048,"Dairy",91.612,"OUT010",1998,,"Tier 3","Grocery Store",93.212
"DRH03",,"Low Fat",0.061393095,"Dairy",91.812,"OUT019",1985,"Small","Tier 1","Grocery Store",372.848
"DRH11",5.98,"Low Fat",0.075495088,"Hard Drinks",55.3614,"OUT013",1987,"High","Tier 3","Supermarket Type1",497.3526
"DRH15",8.775,"Low Fat",0,"Dairy",45.9428,"OUT013",1987,"High","Tier 3","Supermarket Type1",790.9704
"DRH15",8.775,"Low Fat",0.109911272,"Dairy",41.9428,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1537.998
"DRH23",14.65,"Low Fat",0,"Hard Drinks",54.9614,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",552.614
"DRH23",14.65,"Low Fat",0.170176516,"Hard Drinks",55.2614,"OUT013",1987,"High","Tier 3","Supermarket Type1",718.3982
"DRH25",18.7,"Low Fat",0.014580886,"Soft Drinks",50.2324,"OUT013",1987,"High","Tier 3","Supermarket Type1",623.1888
"DRH25",18.7,"Low Fat",0.014675574,"Soft Drinks",50.8324,"OUT017",2007,,"Tier 2","Supermarket Type1",934.7832
"DRH36",16.2,"Low Fat",0,"Soft Drinks",73.4696,"OUT013",1987,"High","Tier 3","Supermarket Type1",2087.9488
"DRH36",,"Low Fat",0.058444176,"Soft Drinks",73.0696,"OUT019",1985,"Small","Tier 1","Grocery Store",223.7088
"DRH37",17.6,"Low Fat",0.041851756,"Soft Drinks",162.7526,"OUT017",2007,,"Tier 2","Supermarket Type1",3124.5994
"DRH39",20.7,"Low Fat",0.09261307,"Dairy",76.367,"OUT013",1987,"High","Tier 3","Supermarket Type1",306.268
"DRH49",19.7,"Low Fat",0.024635077,"Soft Drinks",84.1592,"OUT013",1987,"High","Tier 3","Supermarket Type1",1073.2696
"DRH49",19.7,"Low Fat",0.024756031,"Soft Drinks",83.8592,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",247.6776
"DRH49",,"Low Fat",0.043168763,"Soft Drinks",82.8592,"OUT019",1985,"Small","Tier 1","Grocery Store",165.1184
"DRH51",17.6,"Low Fat",0.097135675,"Dairy",89.3856,"OUT013",1987,"High","Tier 3","Supermarket Type1",1318.284
"DRH51",17.6,"Low Fat",0.097367722,"Dairy",89.3856,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",878.856
"DRH59",10.8,"low fat",0,"Hard Drinks",72.338,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",805.618
"DRH59",10.8,"Low Fat",0.05843345,"Hard Drinks",74.738,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1025.332
"DRI01",7.97,"Low Fat",0,"Soft Drinks",172.0422,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",5690.5926
"DRI01",7.97,"Low Fat",0.034452949,"Soft Drinks",174.0422,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2586.633
"DRI03",6.03,"Low Fat",0,"Dairy",175.1028,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1593.9252
"DRI03",,"Low Fat",0,"Dairy",175.3028,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",3719.1588
"DRI03",6.03,"Low Fat",0.022703693,"Dairy",177.9028,"OUT046",1997,"Small","Tier 1","Supermarket Type1",4781.7756
"DRI11",8.26,"Low Fat",0.057585723,"Hard Drinks",113.7834,"OUT010",1998,,"Tier 3","Grocery Store",115.1834
"DRI23",18.85,"Low Fat",0,"Hard Drinks",162.0578,"OUT035",2004,"Small","Tier 2","Supermarket Type1",3209.156
"DRI23",18.85,"Low Fat",0.137755834,"Hard Drinks",161.8578,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",3530.0716
"DRI37",,"Low Fat",0.107076832,"Soft Drinks",58.7904,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",1288.9888
"DRI37",15.85,"Low Fat",0.107597879,"Soft Drinks",58.7904,"OUT046",1997,"Small","Tier 1","Supermarket Type1",585.904
"DRI39",,"Low Fat",0.096592065,"Dairy",54.893,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",3112.615
"DRI47",14.7,"Low Fat",0.020916223,"Hard Drinks",141.8128,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1869.5664
"DRI51",,"Low Fat",0.042037073,"Dairy",172.6764,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",6183.9504
"DRI51",17.25,"Low Fat",0.042233642,"Dairy",173.3764,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2061.3168
"DRI51",17.25,"Low Fat",0.042480566,"Dairy",173.4764,"OUT017",2007,,"Tier 2","Supermarket Type1",2404.8696
"DRJ01",6.135,"Low Fat",0.115010655,"Soft Drinks",161.5236,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1288.9888
"DRJ01",6.135,"Low Fat",0.115032406,"Soft Drinks",161.0236,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1288.9888
"DRJ01",6.135,"Low Fat",0.192540665,"Soft Drinks",160.2236,"OUT010",1998,,"Tier 3","Grocery Store",322.2472
"DRJ11",9.5,"Low Fat",0.085020342,"Hard Drinks",188.7872,"OUT013",1987,"High","Tier 3","Supermarket Type1",1701.7848
"DRJ11",9.5,"Low Fat",0.085437778,"Hard Drinks",188.4872,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",3592.6568
"DRJ11",9.5,"Low Fat",0.142425145,"Hard Drinks",189.9872,"OUT010",1998,,"Tier 3","Grocery Store",756.3488
"DRJ13",12.65,"Low Fat",0.105265475,"Soft Drinks",159.9578,"OUT010",1998,,"Tier 3","Grocery Store",962.7468
"DRJ23",18.35,"Low Fat",0.041634206,"Hard Drinks",188.1872,"OUT013",1987,"High","Tier 3","Supermarket Type1",3781.744
"DRJ23",18.35,"Low Fat",0.041904578,"Hard Drinks",188.1872,"OUT017",2007,,"Tier 2","Supermarket Type1",4159.9184
"DRJ23",18.35,"Low Fat",0.069745165,"Hard Drinks",190.2872,"OUT010",1998,,"Tier 3","Grocery Store",378.1744
"DRJ24",11.8,"Low Fat",0.113307794,"Soft Drinks",187.0924,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1850.924
"DRJ24",11.8,"Low Fat",0.113790879,"Soft Drinks",185.3924,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",370.1848
"DRJ25",14.6,"Low Fat",0.151180862,"Soft Drinks",47.5692,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",443.4228
"DRJ37",10.8,"Low Fat",0.061101383,"Soft Drinks",151.9024,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2580.6408
"DRJ49",6.865,"Low Fat",0.013990601,"Soft Drinks",127.6652,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2841.6344
"DRK01",7.63,"Low Fat",0.061313057,"Soft Drinks",93.3436,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1323.6104
"DRK11",8.21,"Low Fat",0.010762387,"Hard Drinks",149.5392,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1789.6704
"DRK11",8.21,"low fat",0.010808272,"Hard Drinks",150.5392,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1043.9744
"DRK12",9.5,"Low Fat",0.041971264,"Soft Drinks",33.39,"OUT045",2002,,"Tier 2","Supermarket Type1",732.38
"DRK12",9.5,"Low Fat",0.042056944,"Soft Drinks",31.89,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",366.19
"DRK13",11.8,"Low Fat",0.115819014,"Soft Drinks",198.3084,"OUT017",2007,,"Tier 2","Supermarket Type1",4563.3932
"DRK23",8.395,"Low Fat",0.072088552,"Hard Drinks",253.704,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",4554.072
"DRK35",8.365,"Low Fat",0.071846495,"Hard Drinks",37.9506,"OUT046",1997,"Small","Tier 1","Supermarket Type1",569.259
"DRK35",8.365,"Low Fat",0.071992202,"Hard Drinks",38.3506,"OUT045",2002,,"Tier 2","Supermarket Type1",986.7156
"DRK35",8.365,"Low Fat",0.120256303,"Hard Drinks",39.2506,"OUT010",1998,,"Tier 3","Grocery Store",75.9012
"DRK37",5,"Low Fat",0.044004675,"Soft Drinks",188.853,"OUT046",1997,"Small","Tier 1","Supermarket Type1",5502.837
"DRK47",7.905,"Low Fat",0.06406438,"Hard Drinks",229.2694,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1826.9552
"DRK47",7.905,"Low Fat",0.064325351,"Hard Drinks",230.2694,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",3197.1716
"DRK49",14.15,"Low Fat",0.036147029,"Soft Drinks",39.3138,"OUT017",2007,,"Tier 2","Supermarket Type1",527.9794
"DRK59",8.895,"Low Fat",0,"Hard Drinks",232.9616,"OUT045",2002,,"Tier 2","Supermarket Type1",2812.3392
"DRK59",,"Low Fat",0.075084457,"Hard Drinks",233.9616,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",4452.8704
"DRL01",19.5,"Regular",0.077608838,"Soft Drinks",233.4958,"OUT017",2007,,"Tier 2","Supermarket Type1",5375.0034
"DRL11",,"low fat",0.04778563,"Hard Drinks",156.5946,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",3787.0704
"DRL23",18.35,"Low Fat",0.015328106,"Hard Drinks",107.5938,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1822.2946
"DRL35",15.7,"Low Fat",0.03067808,"Hard Drinks",44.777,"OUT013",1987,"High","Tier 3","Supermarket Type1",605.878
"DRL35",15.7,"Low Fat",0.030765898,"Hard Drinks",43.277,"OUT045",2002,,"Tier 2","Supermarket Type1",649.155
"DRL47",19.7,"Low Fat",0,"Hard Drinks",125.9362,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1635.8706
"DRL47",19.7,"Low Fat",0.038729457,"Hard Drinks",127.3362,"OUT035",2004,"Small","Tier 2","Supermarket Type1",755.0172
"DRL47",19.7,"Low Fat",0.038736781,"Hard Drinks",127.4362,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1510.0344
"DRL49",13.15,"Low Fat",0.056429024,"Soft Drinks",144.2812,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1282.3308
"DRL49",13.15,"Low Fat",0.056516756,"Soft Drinks",143.4812,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",854.8872
"DRL49",13.15,"Low Fat",0.094450618,"Soft Drinks",141.4812,"OUT010",1998,,"Tier 3","Grocery Store",284.9624
"DRL59",,"Low Fat",0.037160705,"Hard Drinks",54.2298,"OUT019",1985,"Small","Tier 1","Grocery Store",161.7894
"DRL60",8.52,"Low Fat",0.02705936,"Soft Drinks",153.3682,"OUT046",1997,"Small","Tier 1","Supermarket Type1",914.8092
"DRL60",8.52,"Low Fat",0.027114238,"Soft Drinks",151.9682,"OUT045",2002,,"Tier 2","Supermarket Type1",1677.1502
"DRM11",6.57,"Low Fat",0.066014596,"Hard Drinks",259.7278,"OUT013",1987,"High","Tier 3","Supermarket Type1",2863.6058
"DRM23",16.6,"Low Fat",0.135707553,"Hard Drinks",170.6422,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1379.5376
"DRM23",16.6,"Low Fat",0.136286138,"Hard Drinks",171.4422,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",2241.7486
"DRM23",16.6,"Low Fat",0.227189581,"Hard Drinks",173.9422,"OUT010",1998,,"Tier 3","Grocery Store",172.4422
"DRM35",,"Low Fat",0.070103425,"Hard Drinks",179.4344,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",5888.3352
"DRM35",9.695,"Low Fat",0.070431235,"Hard Drinks",177.5344,"OUT035",2004,"Small","Tier 2","Supermarket Type1",3033.3848
"DRM35",9.695,"LF",0.070587419,"Hard Drinks",176.9344,"OUT045",2002,,"Tier 2","Supermarket Type1",5888.3352
"DRM37",15.35,"Low Fat",0.096379585,"Soft Drinks",196.5768,"OUT035",2004,"Small","Tier 2","Supermarket Type1",4729.8432
"DRM37",,"LF",0.168780127,"Soft Drinks",197.8768,"OUT019",1985,"Small","Tier 1","Grocery Store",197.0768
"DRM47",,"Low Fat",0.04357366,"Hard Drinks",192.8846,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",2293.0152
"DRM47",9.3,"Low Fat",0.043874493,"Hard Drinks",191.0846,"OUT045",2002,,"Tier 2","Supermarket Type1",1337.5922
"DRM48",15.2,"Low Fat",0.113072194,"Soft Drinks",35.8848,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",596.5568
"DRM48",15.2,"Low Fat",0.113125627,"Soft Drinks",38.6848,"OUT045",2002,,"Tier 2","Supermarket Type1",1155.8288
"DRM49",6.11,"Regular",0,"Soft Drinks",43.0086,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",713.7376
